route_id,route_short_name,route_long_name,trip_id,stop_sequence,stop_id,stop_name,arrival_time,departure_time
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:12092020,8,59410,Hilltop Dr & Eastshore Fwy,18:15:13,18:15:13
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:12092020,9,59165,Hilltop Dr & I-80 Offramp,18:15:57,18:15:57
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:12092020,10,56225,Park Central & Hilltop Dr,18:16:54,18:16:54
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:12092020,11,50656,Hilltop Dr & Park & Ride,18:19:00,18:19:00
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,1,50008,Salesforce Transit Center Bay 8,18:35:00,18:35:00
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,2,55228,Richmond Pkwy Transit Center (Park & Ride),19:16:00,19:16:00
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,3,54413,3400 Richmond Pkwy,19:18:09,19:18:09
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,4,51477,Richmond Pkwy & Lakeside Dr,19:19:58,19:19:58
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,5,57607,Hilltop Dr & Vista Del Mar,19:23:55,19:23:55
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,6,50965,Hilltop Dr & Hillview Dr (Hilltop Village),19:25:37,19:25:37
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,7,56332,Shane Dr & Hilltop Mall Rd,19:28:40,19:28:40
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,8,59410,Hilltop Dr & Eastshore Fwy,19:31:13,19:31:13
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,9,59165,Hilltop Dr & I-80 Offramp,19:31:57,19:31:57
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,10,56225,Park Central & Hilltop Dr,19:32:54,19:32:54
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:1982020,11,50656,Hilltop Dr & Park & Ride,19:35:00,19:35:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,0,903602,Concord,05:34:00,05:35:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,2,903502,Pleasant Hill / Contra Costa Centre,05:39:00,05:40:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,3,903402,Walnut Creek,05:42:00,05:43:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,4,903302,Lafayette,05:47:00,05:47:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,5,903202,Orinda,05:52:00,05:52:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,6,903102,Rockridge,05:58:00,05:58:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,7,900304,MacArthur,06:01:00,06:01:00
